2023-01-13T09:59:53.464017+0100	| INFO	| run_mission.py:run:43 	- Waiting for drone to connect...>
2023-01-13T09:59:53.476374+0100	| INFO	| run_mission.py:run:46 	- Connected to drone!>
2023-01-13T09:59:53.477201+0100	| INFO	| run_mission.py:run:49 	- Waiting for drone to have a global position estimate...>
2023-01-13T10:00:06.085162+0100	| INFO	| run_mission.py:run:52 	- Global position estimate OK>
2023-01-13T10:00:06.111196+0100	| INFO	| run_mission.py:run:60 	- Arming>
2023-01-13T10:00:06.320433+0100	| INFO	| run_mission.py:run:97 	- Uploading mission 0>
2023-01-13T10:00:06.322803+0100	| DEBUG	| run_mission.py:monitor_distance:159 	- Distance monitoring enabled>
2023-01-13T10:00:06.325318+0100	| DEBUG	| run_mission.py:do_mast_recognition:173 	- Mast recognition called>
2023-01-13T10:00:06.325594+0100	| DEBUG	| run_mission.py:do_mast_recognition:174 	- Has Found Mast: False>
2023-01-13T10:00:06.326130+0100	| INFO	| run_mission.py:do_mast_recognition:178 	- Taking image>
2023-01-13T10:00:06.374133+0100	| DEBUG	| run_mission.py:image_contains_mast:206 	- image_contains_mast called>
2023-01-13T10:00:07.352596+0100	| DEBUG	| run_mission.py:image_contains_mast:212 	- image_contains_mast returned False, confidence: 0.5724779367446899>
2023-01-13T10:00:07.353196+0100	| DEBUG	| run_mission.py:do_mast_recognition:192 	- Mast-check completed.>
2023-01-13T10:00:07.354228+0100	| DEBUG	| run_mission.py:monitor_distance:161 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:00:07.356608+0100	| INFO	| run_mission.py:monitor_distance:167 	- Obstacle identified, line of sight cannot be confirmed.>
2023-01-13T10:00:07.359795+0100	| DEBUG	| run_mission.py:monitor_distance:161 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:00:07.363192+0100	| INFO	| run_mission.py:monitor_distance:167 	- Obstacle identified, line of sight cannot be confirmed.>
