2023-01-13T10:12:23.098883+0100	| INFO	| run_mission.py:run:44 	- Waiting for drone to connect...>
2023-01-13T10:12:23.115404+0100	| INFO	| run_mission.py:run:47 	- Connected to drone!>
2023-01-13T10:12:23.116556+0100	| INFO	| run_mission.py:run:50 	- Waiting for drone to have a global position estimate...>
2023-01-13T10:12:31.285982+0100	| INFO	| run_mission.py:run:53 	- Global position estimate OK>
2023-01-13T10:12:31.341108+0100	| INFO	| run_mission.py:run:61 	- Arming>
2023-01-13T10:12:31.413774+0100	| INFO	| run_mission.py:run:100 	- Uploading mission 0>
2023-01-13T10:12:31.416908+0100	| DEBUG	| run_mission.py:monitor_distance:162 	- Distance monitoring enabled>
2023-01-13T10:12:31.419488+0100	| DEBUG	| run_mission.py:do_mast_recognition:182 	- Mast recognition called>
2023-01-13T10:12:31.419926+0100	| DEBUG	| run_mission.py:do_mast_recognition:183 	- Has Found Mast: False>
2023-01-13T10:12:31.420050+0100	| INFO	| run_mission.py:do_mast_recognition:187 	- Taking image>
2023-01-13T10:12:31.493597+0100	| DEBUG	| run_mission.py:image_contains_mast:215 	- image_contains_mast called>
2023-01-13T10:12:32.552356+0100	| DEBUG	| run_mission.py:image_contains_mast:221 	- image_contains_mast returned False, confidence: 0.4691861867904663>
2023-01-13T10:12:32.552716+0100	| DEBUG	| run_mission.py:do_mast_recognition:201 	- Mast-check completed.>
2023-01-13T10:12:32.552972+0100	| DEBUG	| run_mission.py:monitor_altitude:175 	- Altitude monitoring enabled>
2023-01-13T10:12:32.556366+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:32.558621+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:33.355283+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:33.557780+0100	| INFO	| run_mission.py:run:105 	- Starting mission>
2023-01-13T10:12:33.672102+0100	| INFO	| run_mission.py:run:108 	- Now checking mast F2542G at 10.554784917159, 55.3743128282325>
2023-01-13T10:12:34.329897+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:34.523364+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:34.913663+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:35.310495+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:35.610996+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:36.016906+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:12:36.391542+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
